ID;FLG_DEF_6M;Macro Area;Settore
499;0;Nord;Artigianato e piccole imprese
500;0;Centro ;Artigianato e piccole imprese
501;1;Nord;Imprese private
502;1;Centro ;Artigianato e piccole imprese
503;0;Nord;Artigianato e piccole imprese
504;0;Nord;Imprese private
505;0;Nord;Artigianato e piccole imprese
506;1;Centro ;Artigianato e piccole imprese
507;0;Sud & Isole;Artigianato e piccole imprese
508;0;Nord;Artigianato e piccole imprese
509;0;Nord;Artigianato e piccole imprese
510;0;Nord;Imprese private
511;0;Sud & Isole;Artigianato e piccole imprese
512;0;Nord;Artigianato e piccole imprese
513;0;Sud & Isole;Artigianato e piccole imprese
514;0;Nord;Artigianato e piccole imprese
515;0;Sud & Isole;Artigianato e piccole imprese
516;0;Sud & Isole;Artigianato e piccole imprese
517;0;Centro ;Artigianato e piccole imprese
518;1;Centro ;Imprese private
519;0;Sud & Isole;Artigianato e piccole imprese
520;0;Centro ;Artigianato e piccole imprese
521;0;Centro ;Artigianato e piccole imprese
522;0;Nord;Artigianato e piccole imprese
523;0;Nord;Artigianato e piccole imprese
524;0;Centro ;Artigianato e piccole imprese
525;0;Nord;Artigianato e piccole imprese
526;0;Nord;Artigianato e piccole imprese
527;0;Nord;Artigianato e piccole imprese
528;0;Centro ;Artigianato e piccole imprese
529;0;Centro ;Imprese private
530;1;Sud & Isole;Artigianato e piccole imprese
531;0;Nord;NGO e altro
532;0;Centro ;Artigianato e piccole imprese
533;0;Nord;Imprese private
534;0;Nord;Artigianato e piccole imprese
535;0;Centro ;Artigianato e piccole imprese
536;1;Nord;Artigianato e piccole imprese
537;0;Nord;Artigianato e piccole imprese
538;0;Nord;Artigianato e piccole imprese
539;0;Centro ;Artigianato e piccole imprese
540;0;Nord;Artigianato e piccole imprese
541;0;Nord;Artigianato e piccole imprese
542;0;Nord;Artigianato e piccole imprese
543;1;Nord;Artigianato e piccole imprese
544;1;Nord;Artigianato e piccole imprese
545;0;Sud & Isole;Artigianato e piccole imprese
546;0;Nord;Artigianato e piccole imprese
547;1;Centro ;Imprese private
548;1;Sud & Isole;Artigianato e piccole imprese
549;1;Centro ;Artigianato e piccole imprese
550;0;Sud & Isole;Artigianato e piccole imprese
